Customer ID,Age,Group Size,Stay Date,Spending per Day ($),Service Used,Hotel Features Feedback
1,35,2,2023-06-12 to 2023-06-17,150,Room service,Loved the pool area and the attentive staff. The room could have been cleaner.
2,42,1,2023-05-21 to 2023-05-25,200,Spa services,"The spa treatments were exceptional, but the room was a bit small for the price."
3,27,3,2023-07-01 to 2023-07-05,120,Restaurant,"The restaurant had a great selection of dishes, but the service was slow."
4,55,2,2023-04-10 to 2023-04-15,300,Gym,The gym was well-equipped and the staff was helpful. The room had a nice view.
5,30,1,2023-08-03 to 2023-08-08,180,Room service,The room service was prompt and the staff was friendly. The hotel had a lovely rooftop bar.
6,45,4,2023-07-20 to 2023-07-25,250,Pool,The pool was clean and spacious. The hotel offered great family-friendly activities.
7,38,2,2023-03-14 to 2023-03-19,170,Restaurant,"The restaurant had a cozy atmosphere, but the food portions were small."
8,28,1,2023-09-05 to 2023-09-10,160,Spa services,"The spa had a calming ambiance, and the therapists were skilled. The room decor was outdated."
9,50,2,2023-07-10 to 2023-07-15,280,Gym,"The gym was well-maintained, and the hotel had a convenient location. The room needed better soundproofing."
10,33,3,2023-06-01 to 2023-06-06,150,Pool,"The pool area was stunning, and the hotel provided excellent children's facilities. The room lacked proper lighting."
11,47,2,2023-07-08 to 2023-07-13,190,Room service,"The room service exceeded expectations, and the hotel had a nice lounge area. The Wi-Fi signal was weak in the room."
12,32,1,2023-04-25 to 2023-04-30,220,Restaurant,"The restaurant had a diverse menu, but the service was slow. The room had a comfortable bed."
13,60,2,2023-08-18 to 2023-08-23,350,Gym,"The gym was well-equipped with modern equipment, and the hotel offered a wide range of fitness classes. The room had a beautiful ocean view, but the bathroom needed better ventilation."
14,39,1,2023-05-10 to 2023-05-15,180,Spa services,"The spa treatments were rejuvenating, and the staff was attentive. The hotel had a peaceful garden."
15,25,4,2023-07-28 to 2023-08-02,140,Pool,"The pool area was well-maintained, and the hotel provided fun activities for children. The room decor was outdated."
16,43,2,2023-03-02 to 2023-03-07,200,Room service,"The room service was quick and efficient, and the hotel had a cozy fireplace in the lobby. The room had a musty smell."
17,31,3,2023-09-12 to 2023-09-17,160,Restaurant,"The restaurant had a romantic atmosphere, and the food was delicious. The hotel had limited parking space."
18,51,2,2023-06-15 to 2023-06-20,280,Gym,"The gym had state-of-the-art equipment, and the hotel offered complimentary fitness classes. The room lacked storage space."
19,36,1,2023-07-03 to 2023-07-08,170,Spa services,"The spa had a tranquil ambiance, and the therapists were highly skilled. The room had a comfortable seating area."
20,29,2,2023-04-18 to 2023-04-23,190,Pool,The pool area was spacious and had a beautiful view. The hotel provided excellent customer service.
21,48,2,2023-08-08 to 2023-08-13,230,Room service,"The room service was prompt, and the hotel had a charming rooftop terrace. The Wi-Fi signal was weak in certain areas."
22,34,1,2023-03-27 to 2023-04-01,210,Restaurant,"The restaurant had a sophisticated menu, and the service was attentive. The room had a spacious balcony."
23,58,2,2023-09-20 to 2023-09-25,320,Gym,"The gym had a variety of equipment, and the hotel offered personal training sessions. The room had a luxurious bathroom."
24,41,1,2023-07-18 to 2023-07-23,180,Spa services,"The spa treatments were relaxing, and the hotel had a serene garden. The room decor was outdated."
25,26,4,2023-05-05 to 2023-05-10,150,Pool,"The pool area was clean, and the hotel provided fun activities for families. The room had a comfortable bed."
